step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
32,0.000300,11.000000,0.000000,38.562500,24.000000,55.000000,0.000000,38.562500,24.000000,55.000000,0.330706,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
33,0.000400,11.000000,0.000000,38.093750,25.000000,64.000000,0.000000,38.093750,25.000000,64.000000,0.399927,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
34,0.000400,11.000000,0.000000,36.937500,24.000000,52.000000,0.000000,36.937500,24.000000,52.000000,0.390007,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
35,0.014100,10.906250,0.265165,40.625000,24.000000,68.000000,0.000000,40.625000,24.000000,68.000000,0.526372,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
36,0.000400,11.000000,0.000000,40.843750,25.000000,69.000000,0.000000,40.843750,25.000000,69.000000,0.380834,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
37,0.000400,11.000000,0.000000,39.281250,24.000000,66.000000,0.000000,39.281250,24.000000,66.000000,0.447593,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
38,0.000300,11.000000,0.000000,40.531250,24.000000,63.000000,0.000000,40.531250,24.000000,63.000000,0.342176,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
39,0.000400,11.000000,0.000000,38.875000,24.000000,55.000000,0.000000,38.875000,24.000000,55.000000,0.432241,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
40,0.000400,11.000000,0.000000,37.468750,24.000000,57.000000,0.000000,37.468750,24.000000,57.000000,0.430997,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
41,0.000300,11.000000,0.000000,37.625000,28.000000,55.000000,0.000000,37.625000,28.000000,55.000000,0.342369,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
42,0.000400,11.000000,0.000000,37.187500,24.000000,55.000000,0.000000,37.187500,24.000000,55.000000,0.369396,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
43,0.000300,11.000000,0.000000,41.656250,24.000000,71.000000,0.000000,41.656250,24.000000,71.000000,0.348183,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
